context,donor,projectCode,projectTitle,projectOwner,projectOwnerType,implementingPartner,implementingPartnerType,cluster,activity,startDate,endDate,status,province,district,activityTargetNumber,activityAchievedNumber,activityUnit,familiesTarget,woomenTarget,menTartet,girlsTarget,boysTarget,otherBeneficiariesTarget,families,women,men,girls,boys,otherBeneficiaries,distCode
SRP,UNHCR,,Protection Monitoring and Legal assistance,UNHCR,UN,EHSAR,NGO,Protection,Number of persons trained gender disaggregated,1-Feb-14,,Ongoing,Khyber Pakhtunkhwa,Hangu,3,,# of training events,,70,230,,,,,24,46,,,7,208
SRP,UNHCR,,Protection Monitoring and Legal assistance,UNHCR,UN,EHSAR,NGO,Protection,Number of persons supported gender disaggregated,1-Feb-14,,Ongoing,Khyber Pakhtunkhwa,Hangu,,,# of persons supported ,"1,159",,,,,,110,223,317,,,,208
SRP,UNHCR,,Protection Monitoring and Legal assistance,UNHCR,UN,EHSAR,NGO,Protection,Number of person participated in advocay and awarness raising sessions,1-Feb-14,,Ongoing,Khyber Pakhtunkhwa,Hangu,154,28,# of session,,,,,,,,154,168,,,,208
SRP,ECHO,PKFL1303,Information counseling and legal assistance (ICLA),Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jul-13,31-Mar-14,Completed,Khyber Pakhtunkhwa,Dera Ismail Khan,1,1,# of grievance desks,400,"1,400","1,400",,,,,104,598,,,,207
SRP,ECHO,PKFL1303,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,31-Mar-14,Completed,Khyber Pakhtunkhwa,Peshawar,"1,584","1,391",# of persons supported ,"1,584","5,544","5,544",,,,,898,493,,,,219
SRP,ECHO,PKFL1303,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,31-Mar-14,Completed,Khyber Pakhtunkhwa,Dera Ismail Khan,"1,584","3,008",# of persons supported ,"1,584","5,544","5,544",,,,,"1,465","1,543",,,,207
SRP,ECHO,PKFL1303,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,31-Mar-14,Completed,Khyber Pakhtunkhwa,Kohat,"1,584","1,279",# of persons supported ,"1,584","5,544","5,544",,,,,608,671,,,,211
SRP,ECHO,PKFL1303,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,31-Mar-14,Completed,FATA,Kurram Agency,"1,550","1,486",# of persons supported ,"1,550","5,425","5,425",,,,,49,"1,437",,,,403
SRP,DFID,PKFL1308,Information counseling and legal assistance (ICLA),Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jul-13,30-Sep-14,Ongoing,Khyber Pakhtunkhwa,Kohat,1,,# of grievance desks,400,"1,400","1,400",,,,,71,213,,,,211
SRP,DFID,PKFL1308,Information counseling and legal assistance (ICLA),Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jul-13,30-Sep-14,Ongoing,FATA,Kurram Agency,1,,# of grievance desks,400,"1,400","1,400",,,,,20,189,,,,403
SRP,DFID,PKFL1308,Information counseling and legal assistance (ICLA),Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jul-13,30-Sep-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,1,,# of grievance desks,400,"1,400","1,400",,,,,179,832,,,,219
SRP,DFID,PKFL1308,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,30-Sep-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,,"1,981",# of persons supported ,571,"2,040","1,960",,,,,"1,017",964,,,,219
SRP,DFID,PKFL1308,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,30-Sep-14,Ongoing,Khyber Pakhtunkhwa,Kohat,,642,# of persons supported ,571,"2,040","1,960",,,,,284,358,,,,211
SRP,DFID,PKFL1308,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,30-Sep-14,Ongoing,Khyber Pakhtunkhwa,Nowshera,,"2,117",# of persons supported ,571,"2,040","1,960",,,,,"1,148",969,,,,218
SRP,DFID,PKFL1308,ICLA for IDPs and Conflict affected,Norwegian Refugee Council (NRC),INGO,Norwegian Refugee Council (NRC),INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jul-13,30-Sep-14,Ongoing,FATA,Kurram Agency,,545,# of persons supported ,571,"2,040","1,960",,,,,46,499,,,,403
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,185,# of consultations held,,,,,,,,472,636,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,"1,356",# of IDPs registered,,,,,,,,717,"1,883",,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,3,# of grievance desks,,,,,,,,38,251,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,95,# of training events,,,,,,,,606,"2,084",,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,462,# of persons supported ,,,,,,,,151,311,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,159,# of consultations held,,,,,,,,84,229,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,4,# of grievance desks,,,,,,,,90,291,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,223,# of persons supported ,,,,,,,,75,148,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Nowshera,,15,# of training events,,,,,,,,160,193,,,,218
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Peshawar,,833,# of consultations held,,,,,,,,558,612,,,,219
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Peshawar,,"1,573",# of persons supported ,,,,,,,,675,898,,,,219
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Peshawar,,55,# of training events,,,,,,,,591,577,,,,219
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of IDPs consulted gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Kohat,,189,# of consultations held,,,,,,,,105,516,,,,211
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Kohat,,1,# of grievance desks,,,,,,,,1,4,,,,211
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons supported through Legal Aid and Civil documentation gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Kohat,,223,# of persons supported ,,,,,,,,70,153,,,,211
SRP,UNHCR,GU988,Protection,International Rescue Committee (IRC),INGO,IRC,INGO,Protection,Number of persons trained gender disaggregated,1-Jan-14,,Ongoing,Khyber Pakhtunkhwa,Kohat,,3,# of training events,,,,,,,,25,25,,,,211
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,31-Dec-14,Ongoing,Khyber Pakhtunkhwa,Dera Ismail Khan,"20,000","19,000",# of IDPs registered,"20,000","20,000","17,000","32,760","30,240",,"19,000","19,000","16,150","31,122","28,728",,207
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,31-Dec-14,Ongoing,Khyber Pakhtunkhwa,Tank,"19,000","18,500",# of IDPs registered,"19,000","19,000","16,150","31,122","28,728",,"18,500","18,500","15,725","30,303","27,972",,229
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,31-Dec-14,Ongoing,Khyber Pakhtunkhwa,Kohat,"29,500","28,057",# of IDPs registered,"29,500","29,500","25,075","48,321","44,604",,"28,057","28,057","23,848","45,500","42,880",,211
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,31-Dec-14,Ongoing,FATA,Kurram Agency,"20,000","17,000",# of IDPs registered,"20,000","20,000","17,000","32,760","30,240",,"17,000","17,000","14,450","27,846","25,704",,403
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,Number of IDPs registered gender and age disaggregated,1-Jan-14,31-Dec-14,Ongoing,Khyber Pakhtunkhwa,Hangu,"1,159","1,156",# of IDPs registered,"1,159","1,159",985,"1,825","1,826",,"1,156","1,156",983,"1,831","1,810",,208
SRP,UNHCR,SRSP-1205059,"Distribution of NFIs, Registration Data Up-gradation, Return Transportation, Transit Facilitation to IDPs families.",UNHCR,UN,SRSP,NGO,Protection,"Number of eligible cases addressed through grievances desks, Gender disaggregated",1-Jan-14,31-Dec-14,Ongoing,Khyber Pakhtunkhwa,Tank,35,35,# of IDPs registered,35,35,30,60,50,,35,35,30,60,50,,229
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Dera Ismail Khan,15,11,Radio broadcast campaign,"25,331","34,956","34,958","7,599","12,158",,"15,198","20,973","20,975","4,559","7,295",,207
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Hangu,,,Radio broadcast campaign,"1,205","1,662","1,663",362,579,,723,997,998,217,348,,208
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Kohat,,,Radio broadcast campaign,"21,670","29,904","29,905","6,501","10,401",,"13,002","17,942","17,943","3,900","6,241",,211
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Nowshera,,,Radio broadcast campaign,"9,304","12,839","12,839","2,791","4,465",,"5,582","7,703","7,703","1,675","2,679",,218
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,,,Radio broadcast campaign,"71,469","98,627","98,627","21,441","34,305",,"42,881","59,176","59,176","12,865","20,583",,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Tank,,,Radio broadcast campaign,"11,684","16,123","16,124","3,506","5,608",,"7,010","9,673","9,674","2,104","3,365",,229
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Public Service Announcements (PSA),20-Oct-13,30-Jun-14,Ongoing,FATA,Kurram Agency,,,Radio broadcast campaign,"12,737","17,584","17,585","3,832","6,088",,"7,642","10,550","10,551","2,299","3,653",,403
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Awareness Raising Sessions,1-Nov-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,190,600,Awareness raising session,"3,000",300,"2,340",60,300,,"5,977",861,"4,696",70,350,,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Awareness Raising Sessions,1-Nov-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,360,"1,112",Awareness raising session,"5,500",550,"4,290",100,560,,"11,100","1,600","8,720",130,650,,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Development of IEC material,1-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,60,300,Banners,,,,,,,,,,,,,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Development of IEC material,1-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,,"23,700",Brochures,,,,,,,,,,,,,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Development of IEC material,1-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,,"20,000",Leaflets,,,,,,,,,,,,,219
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Development of IEC material,1-Oct-13,30-Jun-14,Ongoing,FATA,Kurram Agency,,"10,000",Leaflets,,,,,,,,,,,,,403
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Call center to facilitate the IDPs,16-Sep-13,30-Jun-14,Ongoing,Islamabad,Islamabad,70,"1,100",Call per week,,,,,,,,,,,,,#N/A
SRP,CERF,DP-0911,HUMANITARIAN COMMUNICATIONS SUPPORT FOR IDPS AND RETURNING POPULATION OF KHYBER PAKHTUNKWA AND Federally Administered Tribal Areas (FATA),IOM,INGO,IOM,INGO,Protection,Volunteer Human Network formation,1-Oct-13,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,200,211,Individuals,,,,,,,,52,159,,,,219
SRP,DANISH Fund/ Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Jalozai-Khyber Pakhtunkhwa",UNICEF,UN,CERD,NGO,Protection/CP,Number of children and women attending protective spaces/ CFS,16-Mar-12,14-Jan-14,Completed,Khyber Pakhtunkhwa,Nowshera,21,21,PLaCES,,"5,075",,"4,810","4,810",,,957,,"2,686","3,106",,218
SRP,DANISH Fund/ Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Jalozai-Khyber Pakhtunkhwa",UNICEF,UN,CERD,NGO,Protection/CP,Number of individuals reached by Child Protection Committees through awareness activities,16-Mar-12,14-Jan-14,Completed,Khyber Pakhtunkhwa,Nowshera,104,115,Committees,,"4,215","3,352","4,312","3,810",,,"3,869","3,112","3,945","3,872",,218
SRP,DANISH Fund/ Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Jalozai-Khyber Pakhtunkhwa",UNICEF,UN,CERD,NGO,Protection/CP,Number of Individuals trained/ oriented in key components in Child Protection gender disaggregated,16-Mar-12,14-Jan-14,Completed,Khyber Pakhtunkhwa,Nowshera,425,400,No of events/ sessions,,"5,000","5,000","5,000","5,000",,,975,,"2,686","3,106",,218
SRP,DANISH Fund/ Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Jalozai-Khyber Pakhtunkhwa",UNICEF,UN,CERD,NGO,Protection/CP,"Number of children referred to service providers, gender disaggregated",16-Mar-12,14-Jan-14,Completed,Khyber Pakhtunkhwa,Nowshera,"3,045","1,192",Cases,,"1,015",,"1,015","1,015",,,"1,136",,"1,321","1,508",,218
SRP,Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Togh Sarai and off camps Hangu-Khyber Pakhtunkhwa",UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of children and women attending protective spaces/ CFS,15-Jun-12,14-Feb-14,Completed,Khyber Pakhtunkhwa,Hangu,9,9,Mobile Outreach locations,,"1,815",,"1,387","1,387",,,"2,610",,899,"1,076",,208
SRP,Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Togh Sarai and off camps Hangu-Khyber Pakhtunkhwa",UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of individuals reached by Child Protection Committees through awareness activities,15-Jun-12,14-Feb-14,Completed,Khyber Pakhtunkhwa,Hangu,36,36,Committees,,"2,713","2,500","2,620","2,620",,,804,742,935,864,,208
SRP,Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Togh Sarai and off camps Hangu-Khyber Pakhtunkhwa",UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of Individuals trained/ oriented in key components in Child Protection gender disaggregated,15-Jun-12,14-Feb-14,Completed,Khyber Pakhtunkhwa,Hangu,200,43,No of events/ sessions,,600,600,600,"1,800",,,"2,610",,899,"1,076",,208
SRP,Australian NatCom,,"Enhanced protection of IDPs girls, boys and women in Togh Sarai and off camps Hangu-Khyber Pakhtunkhwa",UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,"Number of children referred to service providers, gender disaggregated",15-Jun-12,14-Feb-14,Completed,Khyber Pakhtunkhwa,Hangu,"7,340",90,Cases,,"3,025",,"2,157","2,158",,,23,,29,38,,208
SRP,DANISH Fund/ CERF Fund,,Continuation of Child Protection activities on volunteer basis in New Durrani camp in Child Firnedly Spaces established by UNICEF (Project closed on 31st Dec 2013),UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of children and women attending protective spaces/ CFS,13-Jun-13,14-Feb-14,Completed,FATA,Kurram Agency,8,8,PLaCES,,300,,"2,000","2,000",,,533,116,"3,465","3,169",,403
SRP,DANISH Fund/ CERF Fund,,Continuation of Child Protection activities on volunteer basis in New Durrani camp in Child Firnedly Spaces established by UNICEF (Project closed on 31st Dec 2013),UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of individuals reached by Child Protection Committees through awareness activities,13-Jun-13,14-Feb-14,Completed,FATA,Kurram Agency,32,32,Committees,,"1,720","1,250","1,310","1,560",,,"1,095","1,036","1,209","1,124",,403
SRP,DANISH Fund/ CERF Fund,,Continuation of Child Protection activities on volunteer basis in New Durrani camp in Child Firnedly Spaces established by UNICEF (Project closed on 31st Dec 2013),UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,"Number of children referred to service providers, gender disaggregated",13-Jun-13,14-Feb-14,Completed,FATA,Kurram Agency,150,391,Cases,,450,,650,650,,,182,,344,437,,403
SRP,DANISH Fund/ CERF Fund,,Continuation of Child Protection activities on volunteer basis in New Durrani camp in Child Firnedly Spaces established by UNICEF (Project closed on 31st Dec 2013),UNICEF,UN,Pakistan Village Development Program (PVDP),NGO,Protection/CP,Number of Individuals trained/ oriented in key components in Child Protection gender disaggregated,13-Jun-13,14-Feb-14,Completed,FATA,Kurram Agency,350,324,No of events/ sessions,,300,300,"2,000","2,000",,,503,59,"3,431","2,992",,403
SRP,"Ministry of Foreign Affairs, Norwey, ECHO Fund",,"Emergency Child Protection and Psychosocial Support for Conflict-affected Children of Khyber Agency, Pakistan",Save the Children,INGO,Save the Children,INGO,Protection/CP,Number of children and women attending protective spaces/ CFS,1-Sep-12,30-Jun-14,Ongoing,Khyber Pakhtunkhwa,Peshawar,22,22,CFS,,"1,550",,"10,600","10,600",,,"2,563",,"6,938","8,658",,219
